Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
A1CAP,06-05-2024,30.58,-5.38,198.5,31.04,31.01,31.12,31.55,31.06,31.02,30.76,31.12,33.67,32.21,12912647.33,46.42,-,-,-,,-,,,+_29-04-2024 09:00:00,-_11-03-2024 09:00:00,,,-,,,,,-,,,,-,,0,7
KARYE,06-05-2024,38.8,-5.23,-33.42,40.49,41.48,41.65,40.12,40.08,41.65,40.69,43.83,23.15,38.95,7791952.33,50.09,,,,,,,,-_25-03-2024 09:00:00,+_08-01-2024 09:00:00,,-,-,,,,,-,-,,,,,0,4
KONTR,06-05-2024,232.0,-13.75,48.96,244.68,245.97,247.39,247.5,244.17,246.33,243.56,248.64,102.66,239.58,25505501.33,46.7,-,-,-,-,-,-,-,-_06-05-2024 09:00:00,-_06-05-2024 09:00:00,,,-,-,,,,-,,,,-,,0,11
VKFYO,06-05-2024,22.9,-2.64,491.36,22.76,22.89,23.36,23.82,22.8,22.98,22.47,22.79,12.92,24.29,6746504.33,47.14,,,-,,,,,-_05-02-2024 09:00:00,-_26-02-2024 09:00:00,,,,-,,-,,-,,,,,,0,4
KOPOL,06-05-2024,45.3,-1.44,42.88,46.21,46.6,47.17,48.19,46.06,46.72,46.23,47.26,51.17,45.8,8034473.0,43.68,,,,,,,,-_18-03-2024 09:00:00,-_11-03-2024 09:00:00,,,,,,,,,-,,,,,0,1
VERUS,06-05-2024,254.5,-4.32,15.95,260.95,260.36,257.52,250.09,260.86,259.95,259.79,262.01,123.19,261.17,431394.0,53.16,-,-,-,,,,,+_15-04-2024 09:00:00,+_06-05-2024 09:00:00,,,-,,,-,,,-,,,,,0,6
VERTU,06-05-2024,45.4,-12.52,173.93,47.91,47.77,47.3,46.21,47.9,47.7,47.5,48.03,28.33,51.16,8713813.0,50.12,-,-,-,,,,,+_22-04-2024 09:00:00,+_22-01-2024 09:00:00,,,-,-,,-,,,,,,,,0,6
KOZAA,06-05-2024,49.8,-4.32,12.13,50.59,50.48,50.43,50.72,50.62,50.45,50.39,50.49,35.04,50.7,39855539.0,47.81,-,-,-,,,-,,+_22-04-2024 09:00:00,-_06-05-2024 09:00:00,,,-,,,-,,,-,,,-,,0,8
KOZAL,06-05-2024,21.96,-6.07,9.83,23.01,23.13,23.09,23.07,22.9,23.13,23.25,23.35,15.01,22.51,294988911.67,45.27,,,-,-,-,-,-,-_06-05-2024 09:00:00,-_06-05-2024 09:00:00,-,,,,-,-,,,-,,,,-,0,10
ALKA,06-05-2024,28.1,-3.3,-37.5,28.93,29.36,29.76,29.93,28.78,29.47,28.89,30.14,19.25,28.4,6909188.0,45.79,,,,,,,,-_25-03-2024 09:00:00,-_01-04-2024 09:00:00,,-,,,,-,,,-,,,,,0,3
KRGYO,06-05-2024,24.7,-1.12,-19.41,24.88,25.32,26.64,28.58,24.83,25.54,24.65,25.31,16.8,25.08,4515408.0,40.5,-,,,,,,,-_11-12-2023 09:00:00,-_18-12-2023 09:00:00,,,-,,,-,,-,-,,,,,0,5
ANGEN,06-05-2024,13.69,-3.66,28.4,13.77,13.68,13.65,13.73,13.8,13.67,13.64,13.59,14.62,13.94,11315017.67,48.79,-,,,,,,,+_15-04-2024 09:00:00,+_29-04-2024 09:00:00,,,-,,,,,-,-,,,,,0,4
ULUFA,06-05-2024,13.56,-0.88,9.53,13.53,13.31,12.88,12.26,13.59,13.22,13.42,13.23,6.24,13.66,25082605.0,60.04,,,,,,,,+_05-02-2024 09:00:00,+_05-02-2024 09:00:00,,,-,,,,,,-,-,,,,0,3
IZENR,06-05-2024,26.58,-5.81,-22.95,27.48,27.96,28.8,30.11,27.35,28.12,27.46,28.48,34.46,27.32,18246141.33,39.95,-,,,,,,,-_04-03-2024 09:00:00,-_06-05-2024 09:00:00,,,-,,,,,-,-,,,,,0,4
ARZUM,06-05-2024,45.46,-4.9,-31.36,46.96,47.46,47.21,45.84,46.69,47.5,47.18,49.03,26.18,46.66,6056156.0,50.99,-,,-,,-,,,-_15-04-2024 09:00:00,+_05-02-2024 09:00:00,,,-,,,,,-,-,,,,,0,6
KRVGD,06-05-2024,28.5,-0.49,-28.01,28.7,28.54,27.94,26.92,28.7,28.44,28.76,28.69,17.01,27.96,10807486.33,58.47,,-,,,,,,+_22-01-2024 09:00:00,+_22-01-2024 09:00:00,,,,,,,,,-,,,,,0,2
ISYAT,06-05-2024,10.66,-3.79,-4.69,11.01,11.11,11.12,10.89,10.95,11.13,11.08,11.32,5.63,10.78,10876795.67,50.36,,,,,,,,-_15-04-2024 09:00:00,+_03-07-2023 09:00:00,,,,,,-,,-,-,,,,,0,3
KTLEV,06-05-2024,165.0,-5.71,128.5,156.53,147.0,133.89,118.15,159.98,144.13,151.11,138.28,77.25,177.33,5857674.67,75.94,,,,,,,,+_06-05-2024 09:00:00,+_06-05-2024 09:00:00,,,,,,,,-,-,,,,,0,2
KRSTL,06-05-2024,9.05,0.56,-4.27,9.01,9.22,9.66,10.1,8.98,9.31,8.92,9.38,6.61,8.96,27827712.33,43.35,,,,,,,,-_08-01-2024 09:00:00,-_04-03-2024 09:00:00,,,,,,-,,,,,,,,0,1
IMASM,06-05-2024,17.21,-18.44,21.21,18.64,18.34,17.8,17.39,18.68,18.22,18.51,18.18,20.73,19.05,108581914.0,49.19,-,-,-,,,,,+_05-02-2024 09:00:00,+_26-02-2024 09:00:00,,,-,-,,,-,,-,,,-,,0,8
BORLS,06-05-2024,33.92,-2.97,15.89,34.24,34.3,34.59,34.94,34.26,34.35,33.97,34.23,35.42,33.79,12709679.67,47.49,-,-,-,,,,-,-_06-05-2024 09:00:00,-_04-03-2024 09:00:00,,,-,,,,,,-,,,,,0,6
NATEN,06-05-2024,51.9,-6.74,-14.23,53.46,53.31,53.21,52.94,53.52,53.28,52.87,53.51,26.58,54.1,16032633.0,49.55,-,-,-,,,,,+_22-04-2024 09:00:00,+_22-04-2024 09:00:00,,,-,-,-,-,,,-,,,-,,0,9
ENERY,06-05-2024,171.0,-0.29,16.58,170.01,167.52,163.17,158.38,170.61,166.61,169.95,165.77,151.11,171.07,4841519.0,60.99,,,,,,,,+_29-01-2024 09:00:00,+_05-02-2024 09:00:00,,,,,,,,-,-,,,,,0,2
PENTA,06-05-2024,17.95,-5.18,14.18,18.52,18.8,19.17,19.68,18.44,18.88,18.49,19.18,27.93,18.28,18986668.67,42.37,-,,,,,,,-_18-03-2024 09:00:00,-_18-03-2024 09:00:00,,,-,,,,,-,-,,,,,0,4
PETKM,06-05-2024,20.16,-3.91,16.74,20.6,20.87,21.14,21.15,20.52,20.95,20.55,21.35,13.1,20.29,345935074.33,46.51,-,,,,,,,-_25-03-2024 09:00:00,-_01-04-2024 09:00:00,,,-,,,-,,-,-,-,,,,0,6
MTRYO,06-05-2024,8.76,-2.99,78.37,8.79,8.76,8.61,8.36,8.79,8.73,8.79,8.83,4.33,8.86,2886278.33,54.15,-,,,,,,,+_12-02-2024 09:00:00,+_19-02-2024 09:00:00,-,,-,,,-,,-,-,,,,,0,6
ELITE,06-05-2024,46.26,-6.05,50.01,48.26,48.95,49.92,50.17,48.02,49.18,48.39,49.6,22.38,47.79,5318613.33,45.47,,,,,,,,-_04-03-2024 09:00:00,-_18-03-2024 09:00:00,,,-,,,,,,-,,,,-,0,3
GRTRK,06-05-2024,73.0,-8.23,-13.67,75.55,73.86,70.21,64.63,75.83,73.17,75.58,72.56,45.6,75.93,3913490.67,63.44,-,-,,,,,,+_06-05-2024 09:00:00,+_06-05-2024 09:00:00,,,-,-,,,,-,-,,,,,0,6
MRGYO,06-05-2024,6.99,0.29,22.27,6.31,5.99,5.78,5.77,6.48,5.92,5.95,5.64,3.66,6.93,159478555.67,60.28,,,,,,,,+_22-04-2024 09:00:00,+_29-04-2024 09:00:00,,,,,,-,,,,,,,,0,1
EDATA,06-05-2024,21.02,-3.49,15.71,22.27,22.8,22.94,22.23,22.02,22.89,22.53,23.82,9.76,21.56,14454357.0,49.06,,,,,,,,-_01-04-2024 09:00:00,+_06-05-2024 09:00:00,,,,,,,,,-,,,,,0,1
