Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
ZRGYO,03-04-2024,5.96,0.34,-81.06,5.98,6.01,6.11,6.28,5.97,6.03,5.97,6.01,5.69,5.96,2865475.33,35.11,,,,,,,,-_29-02-2024 09:00:00,-_05-03-2024 09:00:00,,,,+,,-,,-,,,,,,1,2
EUKYO,03-04-2024,31.18,2.57,24.49,28.93,27.61,26.17,24.77,29.46,27.26,28.09,26.2,14.67,31.21,344988.33,69.79,,,,,,,,+_25-03-2024 09:00:00,+_22-03-2024 09:00:00,,,,,,+,,-,,,,,,1,1
GMTAS,03-04-2024,7.51,1.9,19.95,7.66,7.81,8.01,8.2,7.61,7.86,7.73,7.96,9.22,7.39,1162014.33,32.72,,,,,,,,-_14-03-2024 09:00:00,-_21-03-2024 09:00:00,,,,,,-,,+,,,,,,1,1
FZLGY,03-04-2024,11.12,-1.59,0.63,11.51,11.71,12.04,12.5,11.44,11.78,11.62,11.83,15.49,11.11,2223709.33,28.57,,,,,,,,-_03-04-2024 09:00:00,-_03-04-2024 09:00:00,,,,,,,,+,-,-,,,,1,2
FMIZP,03-04-2024,359.5,-3.16,107.19,347.3,339.75,333.58,330.33,350.89,338.02,339.5,332.05,267.24,366.75,485302.33,59.61,,,,,,,,+_29-03-2024 09:00:00,+_01-04-2024 09:00:00,,,,,,+,,-,-,,,,,1,2
GENTS,03-04-2024,9.21,-1.39,-74.47,9.28,9.37,9.51,9.59,9.25,9.41,9.26,9.49,7.9,9.22,705426.33,43.78,-,,,,,,,-_22-03-2024 09:00:00,-_26-03-2024 09:00:00,,,-,,,-,,-,-,+,,,,1,5
FROTO,03-04-2024,1127.0,-0.27,-65.74,1131.44,1129.37,1121.59,1102.92,1131.52,1128.19,1130.07,1129.6,860.58,1128.67,634360.0,56.32,,,,,,,,+_28-03-2024 09:00:00,+_12-01-2024 09:00:00,,,,,,+,,,-,-,,,,1,2
ESEN,03-04-2024,17.67,-0.39,-35.14,18.35,18.76,19.22,19.63,18.17,18.87,18.68,19.14,19.26,17.64,1788517.33,33.07,,,,,,,,-_06-03-2024 09:00:00,-_18-03-2024 09:00:00,,,,,,-,,+,-,,,,,1,2
ESCOM,03-04-2024,68.4,-0.22,-35.31,70.62,72.3,74.62,76.72,70.03,72.82,71.26,73.92,54.68,68.38,330484.67,35.59,,,,,,,,-_04-03-2024 09:00:00,-_12-03-2024 09:00:00,,,,,-,-,,+,-,,,,,1,3
ESCAR,03-04-2024,238.6,-1.81,-17.47,238.54,237.58,234.51,227.17,238.8,237.12,238.06,237.73,159.7,242.2,651055.33,61.2,,,,,,,,+_22-02-2024 09:00:00,+_06-02-2024 09:00:00,,,-,,,+,,-,-,,,,,1,3
FRIGO,03-04-2024,7.15,0.0,-34.61,7.27,7.38,7.55,7.74,7.24,7.42,7.31,7.47,7.31,7.11,1986261.33,33.63,,,,,,,,-_04-03-2024 09:00:00,-_14-03-2024 09:00:00,,,,,,-,,+,,,,,,1,1
