Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip
13-06-2024 10:00,ARSAN,16.71,17.08,16.6,17.01,470582.0,0.07,0.3,0.05,538.3,0.3,167157.9,181.52,True,0,,16.17,17.37,False
12-06-2024 17:00,VESBE,20.8,21.04,20.74,21.0,1068116.0,0.04,0.2,0.02,809.09,0.2,525202.6,103.37,True,0,,20.46,ATH,True
12-06-2024 17:00,BSOKE,29.94,30.56,29.94,30.48,974195.0,0.08,0.54,0.07,650.0,0.54,579112.3,68.22,True,0,,29.4,ATH,False
12-06-2024 17:00,GUBRF,141.1,142.2,140.7,142.1,496956.0,0.1,1.0,0.11,809.09,1.0,259697.2,91.36,True,0,,139.3,155.0,True
12-06-2024 17:00,ALARK,112.0,113.4,111.7,113.2,881142.0,0.2,1.2,0.08,1400.0,1.2,465551.7,89.27,True,0,,110.6,113.9,True
12-06-2024 17:00,KARYE,33.02,33.48,32.98,33.48,83490.0,0.0,0.46,0.04,1050.0,0.46,52772.6,58.21,True,0,,32.7,ATH,True
12-06-2024 17:00,SISE,47.28,47.86,47.2,47.7,6769190.0,0.16,0.42,0.05,775.0,0.42,3780375.5,79.06,True,0,,47.02,48.06,True
12-06-2024 15:00,MNDTR,6.34,6.38,6.27,6.38,520251.0,0.0,0.04,0.0,3900.0,0.04,280745.9,85.31,True,2,6.27,6.27,6.49,False
12-06-2024 13:00,CRDFA,8.41,8.79,8.4,8.77,2516979.0,0.02,0.36,0.08,350.0,0.36,1239497.0,103.06,True,0,,7.44,ATH,False
12-06-2024 12:00,AZTEK,67.4,68.95,66.85,68.65,330537.0,0.3,1.25,0.18,575.68,1.25,131664.0,151.05,True,0,,65.35,ATH,True
12-06-2024 11:00,SMART,33.64,34.9,33.56,34.54,254616.0,0.36,0.9,0.02,3990.91,0.9,130931.6,94.46,True,0,,32.78,38.88,False
12-06-2024 11:00,VESTL,81.95,82.95,81.85,82.8,451153.0,0.15,0.85,0.1,709.52,0.85,224984.9,100.53,True,0,,80.05,84.6,False
12-06-2024 10:00,XU100,10057.16,10153.22,10040.88,10133.01,410584883.0,20.21,75.85,8.42,801.37,75.85,203345553.9,101.91,True,0,,9958.11,ATH,False
12-06-2024 10:00,XU030,10976.57,11103.66,10954.98,11077.18,272547298.0,26.48,100.61,12.44,708.63,100.61,135579415.5,101.02,True,0,,10853.39,ATH,False
12-06-2024 10:00,ALTNY,84.1,90.05,81.05,90.05,3152512.0,0.0,5.95,0.68,768.61,5.95,490620.2,542.56,True,2,81.05,81.05,92.05,False
12-06-2024 10:00,GMTAS,8.38,8.66,8.2,8.66,3034274.0,0.0,0.28,0.03,976.92,0.28,405427.7,648.41,True,1,8.66,7.72,ATH,False
12-06-2024 10:00,AKSEN,45.2,46.38,45.14,46.3,1039913.0,0.08,1.1,0.05,2100.0,1.1,556110.0,87.0,True,2,45.14,45.14,46.78,False
11-06-2024 17:00,BOSSA,16.14,16.6,16.1,16.51,620244.0,0.09,0.37,0.03,1175.86,0.37,360344.2,72.13,True,0,,15.59,ATH,False
11-06-2024 17:00,MTRKS,65.7,73.45,65.7,72.75,840945.0,0.7,7.05,0.03,20042.86,7.05,229252.5,266.82,True,2,65.7,65.7,74.85,False
11-06-2024 17:00,SILVR,20.18,20.7,19.96,20.66,319792.0,0.04,0.48,0.03,1614.29,0.48,179752.6,77.91,True,0,,19.95,22.64,False
11-06-2024 16:00,KCHOL,210.8,216.0,210.7,214.8,6594064.0,1.2,4.0,0.52,669.23,4.0,3088758.1,113.49,True,0,,208.0,ATH,True
11-06-2024 13:00,MGROS,491.25,496.0,490.75,494.75,136750.0,1.25,3.5,0.0,inf,3.5,91080.5,50.14,True,0,,487.5,516.0,False
11-06-2024 13:00,BJKAS,31.9,33.66,31.3,33.46,4686991.0,0.2,1.56,0.05,3291.3,1.56,1500444.2,212.37,True,0,,ATL,ATH,True
11-06-2024 11:00,PRDGS,6.41,6.83,6.39,6.74,2345474.0,0.09,0.33,0.04,704.88,0.33,356819.0,557.33,True,1,6.83,6.16,6.83,False
11-06-2024 11:00,KNFRT,11.47,11.67,11.42,11.66,219458.0,0.01,0.19,0.02,850.0,0.19,74430.5,194.85,True,1,11.67,11.37,11.67,True
11-06-2024 10:00,XBANK,14059.16,14376.61,14059.16,14320.93,141756037.0,55.68,261.77,31.65,727.0,261.77,53795310.9,163.51,True,0,,13909.0,ATH,False
11-06-2024 10:00,ARTMS,39.0,40.74,38.96,40.74,256280.0,0.0,1.74,0.22,676.79,1.74,151367.8,69.31,True,0,,36.9,ATH,False
11-06-2024 10:00,SEGYO,4.35,4.41,4.33,4.4,1170135.0,0.01,0.05,0.01,525.0,0.05,480244.3,143.65,True,0,,4.3,4.5,False
11-06-2024 10:00,VAKBN,22.7,23.14,22.46,23.08,7521223.0,0.06,0.38,0.08,387.18,0.38,2228538.6,237.5,True,0,,21.96,23.76,False
11-06-2024 10:00,AKBNK,59.35,60.45,59.2,60.15,14573569.0,0.3,0.8,0.11,595.65,0.8,6139273.0,137.38,True,0,,58.2,ATH,True
