Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,rsi,Tarih1,prev_close,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
26-12-2024 11:00,LKMNH,16.63,17.05,16.55,17.0,356585.0,0.05,0.37,0.08,393.33,0.37,157217.7,126.81,True,73.09,2024-12-26,16.35,3.98,0,,16.05,ATH,False,False
26-12-2024 11:00,DMRGD,11.86,12.76,11.86,12.76,4155172.0,0.0,0.9,0.1,782.35,0.9,571017.2,627.68,True,73.97,2024-12-26,11.6,10.0,0,,11.59,13.14,False,False
26-12-2024 10:00,GSDHO,3.84,3.87,3.84,3.87,1348914.0,0.0,0.03,0.01,233.33,0.03,718538.8,87.73,True,68.13,2024-12-26,3.83,1.04,0,,3.74,3.96,False,False
26-12-2024 10:00,YESIL,1.99,2.1,1.99,2.07,36743701.0,0.03,0.08,0.01,1500.0,0.08,5349859.0,586.82,True,65.76,2024-12-26,1.99,4.02,1,2.1,1.97,2.1,False,False
26-12-2024 10:00,GIPTA,40.1,41.3,40.1,41.02,404842.0,0.28,0.92,0.04,2090.48,0.92,126005.3,221.29,True,74.36,2024-12-26,40.04,2.45,0,,37.4,ATH,False,False
26-12-2024 10:00,VAKFN,2.02,2.05,2.01,2.05,33006427.0,0.0,0.03,0.0,650.0,0.03,8625685.1,282.65,True,65.5,2024-12-26,2.01,1.99,1,2.05,1.87,2.1,False,False
26-12-2024 10:00,HTTBT,45.84,46.94,45.84,46.74,168377.0,0.2,0.9,0.14,542.86,0.9,63490.5,165.2,True,66.68,2024-12-26,46.16,1.26,0,,44.74,ATH,False,False
26-12-2024 10:00,VESTL,68.15,68.8,68.0,68.65,449542.0,0.15,0.5,0.06,733.33,0.5,276572.0,62.54,True,68.52,2024-12-26,67.95,1.03,1,68.8,65.55,68.8,False,False
26-12-2024 10:00,YUNSA,6.3,6.34,6.29,6.34,422470.0,0.0,0.04,0.0,1233.33,0.04,208920.1,102.22,True,59.4,2024-12-26,6.27,1.12,0,,6.15,6.44,False,False
26-12-2024 10:00,XU030,10944.08,11016.71,10940.28,11015.74,477827567.0,0.97,71.66,21.86,227.87,71.66,163078290.1,193.01,True,79.78,2024-12-26,10881.25,1.24,0,,10424.38,11020.49,False,False
